,contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop,runningpop
2963,JPN,Japan,Mature economies,1988,I,wyd,1,1988,4,12.2613,9507.0,12709,12993.78828708804,24021.92578125,122.613,3672.0893394000036
1886,GBR,United Kingdom,Mature economies,1986,I,wyd,1,1988,7,5.6928328,9557.0,8978,11262.25187198989,20009.89453125,56.928328,3677.7821722000035
1679,EST,Estonia,Mature economies,1988,I,povcal,1,1988,10,0.15619,9591.0,5210,,10641.0,1.5619,3677.9383622000037
1403,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,4,0.5129516,9656.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3678.451313800004
1815,FRA,France,Mature economies,1989,I,wyd,1,1988,6,5.7668932,9790.0,10674,13408.86583479267,23767.998046875,57.668932,3684.218207000004
172,AUT,Austria,Mature economies,1987,I,wyd,1,1988,3,0.7585316999999999,9790.0,14056,13816.96814901831,23062.646484375,7.585317,3684.976738700004
4184,NZL,New Zealand,Mature economies,1986,I,wyd,1,1988,5,0.335,9841.0,12046,10418.6015990235,19328.11328125,3.35,3685.311738700004
2827,ITA,Italy,Mature economies,1986,I,wyd,1,1988,8,5.6629288,9878.0,7943,11681.59537054071,20977.615234375,56.629288,3690.9746675000038
1746,FIN,Finland,Mature economies,1987,I,wyd,1,1988,7,0.4946481,9909.0,9268,10371.71359432845,21054.041015625,4.9464809999999995,3691.469315600004
5189,TTO,Trinidad and Tobago,L. America & Carib.,1988,I,povcal,1,1988,10,0.12012239999999999,9914.0,3184,2949.7671308598574,10879.6044921875,1.201224,3691.589438000004
733,CAN,Canada,Mature economies,1987,I,wyd,1,1988,4,2.6895,9973.0,14401,13931.711995178908,26127.9375,26.895,3694.278938000004
4066,NLD,Netherlands,Mature economies,1987,I,wyd,1,1988,7,1.4760094,10021.0,9574,12143.27512491104,23805.724609375,14.760094,3695.754947400004
1343,DEU,Germany,Mature economies,1989,I,wyd,1,1988,4,7.8144616,10086.0,13913,14466.112435404219,24801.767578125,78.144616,3703.569409000004
2778,ISR,Israel,Mature economies,1986,I,wyd,1,1988,9,0.4442,10152.0,6303,8414.497205402651,16430.94140625,4.442,3704.0136090000037
286,BEL,Belgium,Mature economies,1988,I,wyd,1,1988,7,0.9901664000000001,10195.0,9653,12459.33873902407,23672.939453125,9.901664,3705.0037754000036
3168,KOR,"Korea, Rep.",Mature economies,1988,I,wyd,1,1988,9,4.1975,10216.0,7028,5194.199906039309,9977.13671875,41.975,3709.201275400004
3448,LVA,Latvia,Mature economies,1988,I,povcal,1,1988,9,0.2653434,10250.0,7321,7573.604390386194,10428.2744140625,2.653434,3709.4666188000037
58,ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,9,3.1729130000000003,10280.0,6397,9201.201876605535,8849.7685546875,31.729129999999998,3712.6395318000036
5503,USA,United States,Mature economies,1986,I,wyd,1,1988,4,24.4499008,10312.0,16411,19491.28196162233,29269.197265625,244.499008,3737.0894326000034
3889,MYS,Malaysia,Other Asia,1987,I,povcal,1,1988,10,1.7200068,10335.0,2798,1959.27948654467,5511.51611328125,17.200067999999998,3738.8094394000036
1299,CZE,Czech Republic,Mature economies,1988,I,povcal,1,1988,10,1.0355276,10449.0,5863,,16211.0,10.355276,3739.8449670000036
135,AUS,Australia,Mature economies,1989,I,wyd,1,1988,6,1.6532200000000001,10469.0,11678,12463.26584832049,23370.16796875,16.5322,3741.498187000004
2964,JPN,Japan,Mature economies,1988,I,wyd,1,1988,5,12.2613,10495.0,12709,12993.78828708804,24021.92578125,122.613,3753.759487000004
1628,ESP,Spain,Mature economies,1990,I,wyd,1,1988,9,3.8715848,10586.0,7030,11104.36045104772,19776.65625,38.715848,3757.631071800004
4509,PRY,Paraguay,L. America & Carib.,1990,I,povcal,1,1988,10,0.40236279999999996,10604.0,3456,2934.752931529315,4004.967529296875,4.0236279999999995,3758.033434600004
1404,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,5,0.5129516,10751.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3758.5463862000042
173,AUT,Austria,Mature economies,1987,I,wyd,1,1988,4,0.7585316999999999,11059.0,14056,13816.96814901831,23062.646484375,7.585317,3759.304917900004
1747,FIN,Finland,Mature economies,1987,I,wyd,1,1988,8,0.4946481,11112.0,9268,10371.71359432845,21054.041015625,4.9464809999999995,3759.7995660000042
